TITLE;2 random variables, variable gain
FOCUS ON;Comparison by gain, distance type and variable type
EXPERIMENT TYPE;SingleAmongManyVaryingGain
RESULTS
PARTICULAR
parameters
normalization;Center
pcaRecompositionThreshold;0.95
component;;;;;;;;;1;2
type;;;;;;;;;RandomNormal;RandomNormal
p1;;;;;;;;;0;0
p2;;;;;;;;;1;1
distances;(RandomNormal, RandomNormal) (many)
DE Euclidean(MinimumTimesMedian);0.099122;1.7227;0.0771058198023196;1.3401;1.2855;0.70629;0.29371
weights;(RandomPearson, RandomNormal)
gain;3;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.85752;0.14248
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.060464;1.0823;0.0417362278625188;0.74705;1.4487;0.43238;0.56762
DE Euclidean(MinimumTimesMedian);0.060482;1.0826;0.0417362278625188;0.74705;1.4492;0.43178;0.56822
DE Euclidean(MinimumTimesMedian);0.060489;1.0827;0.0417362278625188;0.74705;1.4493;0.43184;0.56816
DE Euclidean(MinimumTimesMedian);0.06049;1.0827;0.0417362278625188;0.74705;1.4493;0.43183;0.56817
DE Euclidean(MinimumTimesMedian);0.06049;1.0827;0.0417362278625188;0.74705;1.4493;0.43183;0.56817
weights;(RandomPearson, RandomPearson)
gain;3;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.73736;0.26264
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.069323;1.0722;0.0504447975807663;0.7802;1.3742;0.54268;0.45732
DE Euclidean(MinimumTimesMedian);0.069323;1.0722;0.0504447975807663;0.7802;1.3742;0.54259;0.45741
DE Euclidean(MinimumTimesMedian);0.069323;1.0722;0.0504447975807663;0.7802;1.3742;0.54259;0.45741
DE Euclidean(MinimumTimesMedian);0.069323;1.0722;0.0504447975807663;0.7802;1.3742;0.54259;0.45741
DE Euclidean(MinimumTimesMedian);0.069323;1.0722;0.0504447975807663;0.7802;1.3742;0.54259;0.45741
weights;(RandomPearson, RandomUniform)
gain;3;normalization;Center
component;;;;;;1;2
PCA;;;;;;0.99995;5.1606E-05
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
DE Euclidean(MinimumTimesMedian);0.027028;1.8091;0.000361158377058573;0.024174;74.837;0.80084;0.19916
DE Euclidean(MinimumTimesMedian);0.027028;1.8091;0.000361158377058573;0.024174;74.837;0.80084;0.19916
DE Euclidean(MinimumTimesMedian);0.027028;1.8091;0.000361158377058573;0.024174;74.837;0.80084;0.19916
DE Euclidean(MinimumTimesMedian);0.027028;1.8091;0.000361158377058573;0.024174;74.837;0.80084;0.19916
DE Euclidean(MinimumTimesMedian);0.027028;1.8091;0.000361158377058573;0.024174;74.837;0.80084;0.19916
