TITLE;15 random variables, variable gain
FOCUS ON;Comparison by gain, distance type and variable type
EXPERIMENT TYPE;SingleAmongManyVaryingGain
RESULTS
PARTICULAR
parameters
normalization;Center
pcaRecompositionThreshold;0.95
component;;;;;;;;;1;2;3;4;5;6;7;8
type;;;;;;;;;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal
p1;;;;;;;;;0;0;0;0;0;0;0;0
p2;;;;;;;;;1;1;1;1;1;1;1;1
distances;(RandomNormal, RandomNormal) (many)
gain;1;3;9;27;81
DE Euclidean(MinimumTimesMedian);0.11158;4.4821;0.0728514982516604;2.9265;1.5316;9.1783E-08;5.1097E-07;1.4342E-07;3.9042E-07;3.4204E-08;1.7407E-08;7.188E-12;2.3871E-08;2.5064E-08;0.11761;0.18657;0.22938;0.19261;0.09422;0.17961
DE Euclidean(MinimumTimesMedian);0.11169;4.4866;0.0728514982516604;2.9265;1.5331;4.6766E-08;1.2272E-07;1.8474E-08;3.1189E-09;4.7933E-08;4.4961E-08;3.4458E-10;8.2968E-08;3.9996E-10;0.11474;0.18583;0.22829;0.19334;0.094681;0.18312
DE Euclidean(MinimumTimesMedian);0.11385;4.5732;0.0728514982516604;2.9265;1.5627;1.3083E-05;2.7646E-07;6.2277E-10;4.4509E-08;4.5462E-08;3.4381E-06;1.4362E-06;4.7147E-06;8.2358E-06;0.2336;0.14016;9.5102E-07;0.17774;0.1468;0.30167
DE Euclidean(MinimumTimesMedian);0.11425;4.5893;0.0728514982516604;2.9265;1.5682;4.7499E-09;1.347E-08;9.3915E-09;3.0616E-10;5.4019E-10;4.478E-10;1.568E-08;7.5723E-09;6.0073E-08;0.23379;0.13819;1.6113E-08;0.17814;0.14425;0.30563
DE Euclidean(MinimumTimesMedian);0.12293;4.9381;0.0728514982516604;2.9265;1.6874;1.038E-09;5.3743E-10;2.1345E-08;5.9883E-09;1.7038E-08;6.5811E-10;1.0987E-09;0.20462;4.8528E-09;0.18461;2.0401E-09;0.08955;0.15173;2.4934E-10;0.36949
weights;(RandomUniform, RandomPearson)
gain;1;normalization;Center
component;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
PCA;;;;;;0.0015068;0.00019042;0.0013902;0.00060119;0.0016108;0.0010437;0.0015154;0.24445;0.046346;0.11079;0.13067;0.071439;0.14635;0.16523;0.076858
distance;dDE;dDE/dP;dPCA;dPCA/dP;dDE/dPCA;weights ->
